Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Jordan Ayew,gh GHA,FW,Crystal Palace,Premier League,29,1991,22.4,570,745,76.5,8666,1732,326,368,88.6,197,245,80.4,33,79,41.8,3,2.3,+0.7,21,29,15,5,48,Matches
Kevin De Bruyne,be BEL,MF,Manchester City,Premier League,30,1991,24.5,1172,1553,75.5,22303,6186,520,600,86.7,464,582,79.7,166,311,53.4,8,9.5,-1.5,88,132,67,9,157,Matches
Andrej Kramarić,hr CRO,"FW,MF",Hoffenheim,Bundesliga,30,1991,30.1,819,1057,77.5,13079,2951,440,527,83.5,290,364,79.7,57,102,55.9,9,6.3,+2.7,38,57,41,10,79,Matches
Lorenzo Insigne,it ITA,FW,Napoli,Serie A,30,1991,25.4,1200,1506,79.7,22090,5654,583,650,89.7,433,506,85.6,161,290,55.5,8,5.7,+2.3,64,75,53,7,126,Matches
Darko Lazović,rs SRB,DF,Hellas Verona,Serie A,30,1990,30.7,1098,1543,71.2,19327,9552,482,603,79.9,503,657,76.6,98,202,48.5,7,5.7,+1.3,44,88,54,14,195,Matches
Luis Muriel,co COL,FW,Atalanta,Serie A,30,1991,17.1,561,769,73,9365,2686,279,341,81.8,171,239,71.5,70,122,57.4,8,5.5,+2.5,60,34,38,8,70,Matches
Pascal Groß,de GER,"MF,DF",Brighton,Premier League,30,1991,22.6,984,1315,74.8,19467,5768,410,468,87.6,395,475,83.2,167,319,52.4,4,5.3,-1.3,60,81,35,12,103,Matches
Sergio Canales,es ESP,"FW,MF",Betis,La Liga,30,1991,31,1551,1867,83.1,28685,6995,713,788,90.5,554,636,87.1,228,335,68.1,8,5.1,+2.9,62,148,62,5,182,Matches
Marcos Alonso,es ESP,DF,Chelsea,Premier League,30,1990,24.1,1132,1456,77.7,19695,6764,556,629,88.4,448,532,84.2,108,235,46,4,4.6,-0.6,44,68,33,15,107,Matches
Rodrigo,es ESP,"MF,FW",Leeds United,Premier League,30,1991,25.2,667,895,74.5,11252,2788,347,437,79.4,218,275,79.3,77,116,66.4,1,4.6,-3.6,40,67,34,10,76,Matches
Wissam Ben Yedder,fr FRA,FW,Monaco,Ligue 1,30,1990,28.1,493,677,72.8,7299,1306,282,354,79.7,159,217,73.3,36,60,60,5,4.3,+0.7,29,30,29,0,53,Matches
Duván Zapata,co COL,FW,Atalanta,Serie A,30,1991,19.1,425,557,76.3,6383,925,244,293,83.3,138,185,74.6,26,43,60.5,4,4.3,-0.3,38,19,21,4,28,Matches
İlkay Gündoğan,de GER,MF,Manchester City,Premier League,30,1990,20.6,1160,1325,87.5,20357,4001,586,622,94.2,410,454,90.3,140,196,71.4,4,4.2,-0.2,37,78,27,2,84,Matches
Roberto Soriano,it ITA,"MF,FW",Bologna,Serie A,30,1991,29.1,1031,1258,82,15865,5354,571,641,89.1,356,429,83,71,113,62.8,4,4.2,-0.2,45,103,43,11,129,Matches
Riyad Mahrez,dz ALG,FW,Manchester City,Premier League,30,1991,16.6,767,930,82.5,13516,2654,377,422,89.3,299,346,86.4,84,143,58.7,5,3.7,+1.3,41,20,39,6,61,Matches
Gaël Kakuta,cd COD,"MF,FW",Lens,Ligue 1,30,1991,18.6,527,725,72.7,8609,2305,297,363,81.8,173,229,75.5,45,95,47.4,2,3.5,-1.5,22,66,19,7,67,Matches
Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,La Liga,30,1991,18.8,560,710,78.9,8706,1834,311,359,86.6,176,219,80.4,47,87,54,4,3.4,+0.6,26,34,12,1,44,Matches
Vladimír Darida,cz CZE,MF,Hertha BSC,Bundesliga,30,1990,19.8,689,957,72,13134,4043,290,343,84.5,289,359,80.5,95,199,47.7,5,3.3,+1.7,32,45,17,5,64,Matches
